Date	PosN	Abs gain	Cmp gain	Lcoil(m)	Iset(A)	Level(mrad)	EncOff(mrad)	Speed(rpm)	n	Magnet type	Serial number	Dipole	Orientation	Fabrication stage	Upper Coil	Lower Coil	Left Coil	Right Coil
20210707_101252	1	10	10	600	5	0.00290249	3015.81	60	512	MCBXFB	02	Outer	Skew	Iron	None	None	OCBS01	OCBS02
20210707_101252	1	10	10	600	5	0.00290249	3015.81	60	512	MCBXFB	02	Outer	Skew	Iron	None	None	OCBS01	OCBS02
20210707_101252	1	10	10	600	5	0.00290249	3015.81	60	512	MCBXFB	02	Outer	Skew	Iron	None	None	OCBS01	OCBS02
20210707_101252	1	10	10	600	5	0.00290249	3015.81	60	512	MCBXFB	02	Outer	Skew	Iron	None	None	OCBS01	OCBS02
20210707_101252	1	10	10	600	5	0.00290249	3015.81	60	512	MCBXFB	02	Outer	Skew	Iron	None	None	OCBS01	OCBS02
20210707_101252	1	10	10	600	5	0.00290249	3015.81	60	512	MCBXFB	02	Outer	Skew	Iron	None	None	OCBS01	OCBS02
20210707_101252	1	10	10	600	5	0.00290249	3015.81	60	512	MCBXFB	02	Outer	Skew	Iron	None	None	OCBS01	OCBS02
20210707_101252	1	10	10	600	5	0.00290249	3015.81	60	512	MCBXFB	02	Outer	Skew	Iron	None	None	OCBS01	OCBS02
20210707_101252	1	10	10	600	5	0.00290249	3015.81	60	512	MCBXFB	02	Outer	Skew	Iron	None	None	OCBS01	OCBS02
20210707_101252	1	10	10	600	5	0.00290249	3015.81	60	512	MCBXFB	02	Outer	Skew	Iron	None	None	OCBS01	OCBS02
20210707_101329	1	10	10	600	-5	0.00290249	3015.81	60	512	MCBXFB	02	Outer	Skew	Iron	None	None	OCBS01	OCBS02
20210707_101329	1	10	10	600	-5	0.00290249	3015.81	60	512	MCBXFB	02	Outer	Skew	Iron	None	None	OCBS01	OCBS02
20210707_101329	1	10	10	600	-5	0.00290249	3015.81	60	512	MCBXFB	02	Outer	Skew	Iron	None	None	OCBS01	OCBS02
20210707_101329	1	10	10	600	-5	0.00290249	3015.81	60	512	MCBXFB	02	Outer	Skew	Iron	None	None	OCBS01	OCBS02
20210707_101329	1	10	10	600	-5	0.00290249	3015.81	60	512	MCBXFB	02	Outer	Skew	Iron	None	None	OCBS01	OCBS02
20210707_101329	1	10	10	600	-5	0.00290249	3015.81	60	512	MCBXFB	02	Outer	Skew	Iron	None	None	OCBS01	OCBS02
20210707_101329	1	10	10	600	-5	0.00290249	3015.81	60	512	MCBXFB	02	Outer	Skew	Iron	None	None	OCBS01	OCBS02
20210707_101329	1	10	10	600	-5	0.00290249	3015.81	60	512	MCBXFB	02	Outer	Skew	Iron	None	None	OCBS01	OCBS02
20210707_101329	1	10	10	600	-5	0.00290249	3015.81	60	512	MCBXFB	02	Outer	Skew	Iron	None	None	OCBS01	OCBS02
20210707_101329	1	10	10	600	-5	0.00290249	3015.81	60	512	MCBXFB	02	Outer	Skew	Iron	None	None	OCBS01	OCBS02
20210707_101531	2	10	10	600	5	0.00287858	3045.72	60	512	MCBXFB	02	Outer	Skew	Iron	None	None	OCBS01	OCBS02
20210707_101531	2	10	10	600	5	0.00287858	3045.72	60	512	MCBXFB	02	Outer	Skew	Iron	None	None	OCBS01	OCBS02
20210707_101531	2	10	10	600	5	0.00287858	3045.72	60	512	MCBXFB	02	Outer	Skew	Iron	None	None	OCBS01	OCBS02
20210707_101531	2	10	10	600	5	0.00287858	3045.72	60	512	MCBXFB	02	Outer	Skew	Iron	None	None	OCBS01	OCBS02
20210707_101531	2	10	10	600	5	0.00287858	3045.72	60	512	MCBXFB	02	Outer	Skew	Iron	None	None	OCBS01	OCBS02
20210707_101531	2	10	10	600	5	0.00287858	3045.72	60	512	MCBXFB	02	Outer	Skew	Iron	None	None	OCBS01	OCBS02
20210707_101531	2	10	10	600	5	0.00287858	3045.72	60	512	MCBXFB	02	Outer	Skew	Iron	None	None	OCBS01	OCBS02
20210707_101531	2	10	10	600	5	0.00287858	3045.72	60	512	MCBXFB	02	Outer	Skew	Iron	None	None	OCBS01	OCBS02
20210707_101531	2	10	10	600	5	0.00287858	3045.72	60	512	MCBXFB	02	Outer	Skew	Iron	None	None	OCBS01	OCBS02
20210707_101531	2	10	10	600	5	0.00287858	3045.72	60	512	MCBXFB	02	Outer	Skew	Iron	None	None	OCBS01	OCBS02
20210707_101608	2	10	10	600	-5	0.00287858	3045.72	60	512	MCBXFB	02	Outer	Skew	Iron	None	None	OCBS01	OCBS02
20210707_101608	2	10	10	600	-5	0.00287858	3045.72	60	512	MCBXFB	02	Outer	Skew	Iron	None	None	OCBS01	OCBS02
20210707_101608	2	10	10	600	-5	0.00287858	3045.72	60	512	MCBXFB	02	Outer	Skew	Iron	None	None	OCBS01	OCBS02
20210707_101608	2	10	10	600	-5	0.00287858	3045.72	60	512	MCBXFB	02	Outer	Skew	Iron	None	None	OCBS01	OCBS02
20210707_101608	2	10	10	600	-5	0.00287858	3045.72	60	512	MCBXFB	02	Outer	Skew	Iron	None	None	OCBS01	OCBS02
20210707_101608	2	10	10	600	-5	0.00287858	3045.72	60	512	MCBXFB	02	Outer	Skew	Iron	None	None	OCBS01	OCBS02
20210707_101608	2	10	10	600	-5	0.00287858	3045.72	60	512	MCBXFB	02	Outer	Skew	Iron	None	None	OCBS01	OCBS02
20210707_101608	2	10	10	600	-5	0.00287858	3045.72	60	512	MCBXFB	02	Outer	Skew	Iron	None	None	OCBS01	OCBS02
20210707_101608	2	10	10	600	-5	0.00287858	3045.72	60	512	MCBXFB	02	Outer	Skew	Iron	None	None	OCBS01	OCBS02
20210707_101608	2	10	10	600	-5	0.00287858	3045.72	60	512	MCBXFB	02	Outer	Skew	Iron	None	None	OCBS01	OCBS02
20210707_101738	3	10	10	600	5	0.00289585	3075.73	60	512	MCBXFB	02	Outer	Skew	Iron	None	None	OCBS01	OCBS02
20210707_101738	3	10	10	600	5	0.00289585	3075.73	60	512	MCBXFB	02	Outer	Skew	Iron	None	None	OCBS01	OCBS02
20210707_101738	3	10	10	600	5	0.00289585	3075.73	60	512	MCBXFB	02	Outer	Skew	Iron	None	None	OCBS01	OCBS02
20210707_101738	3	10	10	600	5	0.00289585	3075.73	60	512	MCBXFB	02	Outer	Skew	Iron	None	None	OCBS01	OCBS02
20210707_101738	3	10	10	600	5	0.00289585	3075.73	60	512	MCBXFB	02	Outer	Skew	Iron	None	None	OCBS01	OCBS02
20210707_101738	3	10	10	600	5	0.00289585	3075.73	60	512	MCBXFB	02	Outer	Skew	Iron	None	None	OCBS01	OCBS02
20210707_101738	3	10	10	600	5	0.00289585	3075.73	60	512	MCBXFB	02	Outer	Skew	Iron	None	None	OCBS01	OCBS02
20210707_101738	3	10	10	600	5	0.00289585	3075.73	60	512	MCBXFB	02	Outer	Skew	Iron	None	None	OCBS01	OCBS02
20210707_101738	3	10	10	600	5	0.00289585	3075.73	60	512	MCBXFB	02	Outer	Skew	Iron	None	None	OCBS01	OCBS02
20210707_101738	3	10	10	600	5	0.00289585	3075.73	60	512	MCBXFB	02	Outer	Skew	Iron	None	None	OCBS01	OCBS02
20210707_101815	3	10	10	600	-5	0.00289585	3075.73	60	512	MCBXFB	02	Outer	Skew	Iron	None	None	OCBS01	OCBS02
